Date,PREC.I-1 (in) ,PREC (m),TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,ID,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,ID,SNWD.I-1 (m) ,SNDENS_gcm3,SNDENS_kgm3,ID,SNThermCond_,SNThermCond_Sturm,ID,SNThermCond_est,ID,Permadata_surface_temp,,,
10/30/14,0.8,0.02,-8.4,-1.9,-8.9,1,-6.2,13,1,0.33,0.06,61.54,1,0.01,0.03,1,0.15,1,-0.247,Meta:,,
10/31/14,0.8,0.02,-11.1,-8.4,-11.3,2,-9.5,13,2,0.33,0.06,61.54,2,0.01,0.03,2,0.15,2,-0.286,SNWD.I-1 (m)_edit: edits some snow depth values to be more consistent with accum precip and temp,,
11/1/14,0.8,0.02,-14.7,-10.7,-14.7,3,-12.4,12,3,0.30,0.07,66.67,3,0.01,0.03,3,0.15,3,-0.364,,,
11/2/14,0.8,0.02,-22.6,-14.7,-24.1,4,-18.3,12,4,0.30,0.07,66.67,4,0.01,0.03,4,0.15,4,-0.522,,,
11/3/14,0.8,0.02,-21.3,-18.5,-24.8,5,-22.6,12,5,0.30,0.07,66.67,5,0.01,0.03,5,0.15,5,-0.808,,,
11/4/14,0.8,0.02,-21.7,-19.2,-25,6,-22.2,11,6,0.28,0.07,72.73,6,0.02,0.03,6,0.15,6,-1.105,,,
11/5/14,0.8,0.02,-16.3,-15.1,-23.2,7,-18.3,18,7,0.46,0.04,44.44,7,0.01,0.03,7,0.15,7,-1.198,,,
11/6/14,0.8,0.02,-19.9,-15.2,-21.8,8,-17.1,18,8,0.46,0.04,44.44,8,0.01,0.03,8,0.15,8,-0.958,,,
11/7/14,0.8,0.02,-6.7,-6.7,-21.3,9,-11.3,17,9,0.43,0.05,47.06,9,0.01,0.03,9,0.15,9,-1.037,,,
11/8/14,0.9,0.02,-5.3,-1.7,-10.9,10,-5.9,17,10,0.43,0.05,52.94,10,0.01,0.03,10,0.15,10,-0.918,,,
11/9/14,0.9,0.02,-4.7,-1.7,-7.2,11,-4.6,17,11,0.43,0.05,52.94,11,0.01,0.03,11,0.15,11,-0.838,,,
11/10/14,1.1,0.03,0.6,2.3,-5.7,12,-1.8,17,12,0.43,0.06,64.71,12,0.01,0.03,12,0.15,12,-0.759,,,
11/11/14,1.1,0.00,0.4,3.2,-1.9,13,1.2,17,13,0.00,0.00,0.00,13,0.00,0.02,13,0.15,13,-0.443,,,
11/12/14,1.1,0.00,1.6,3.3,-2.2,14,0.6,17,14,0.00,0.00,0.00,14,0.00,0.02,14,0.15,14,-0.404,,,
11/13/14,1.1,0.00,3.1,7.5,0.9,15,4.1,16,15,0.00,0.00,0.00,15,0.00,0.02,15,0.15,15,-0.246,,,
11/14/14,1.1,0.00,2.2,5.6,-0.3,16,2.8,16,16,0.00,0.00,0.00,16,0.00,0.02,16,0.15,16,-0.169,,,
11/15/14,1.1,0.03,1.8,3.7,-5.1,17,-1.1,16,17,0.41,0.07,68.75,17,0.02,0.03,17,0.15,17,-0.364,,,
11/16/14,1.1,0.00,-0.3,3.7,-3.3,18,0.3,16,18,0.00,0.00,0.00,18,0.00,0.02,18,0.15,18,-0.342,,,
11/17/14,1.1,0.03,-8.5,0.3,-10.7,19,-4.3,16,19,0.41,0.07,68.75,19,0.02,0.03,19,0.15,19,-0.6,,,
11/18/14,1.1,0.03,-9.1,-7.7,-12,20,-10.2,16,20,0.41,0.07,68.75,20,0.02,0.03,20,0.15,20,-0.857,,,
11/19/14,1.1,0.03,-13.6,-4.9,-16.7,21,-9.6,15,21,0.38,0.07,73.33,21,0.02,0.03,21,0.15,21,-1.037,,,
11/20/14,1.2,0.03,-7.4,-7.4,-13.9,22,-9.9,15,22,0.38,0.08,80.00,22,0.02,0.04,22,0.15,22,-1.037,,,
11/21/14,1.2,0.03,-8.6,-3.1,-13.8,23,-8,16,23,0.41,0.08,75.00,23,0.02,0.04,23,0.15,23,-0.798,,,
11/22/14,1.2,0.03,-6.1,-4.6,-9.3,24,-6.6,16,24,0.41,0.08,75.00,24,0.02,0.04,24,0.15,24,-0.917,,,
